Description	Accession	Brain_MD_12		Brain_MD_61		Brain_MD_15		Brain_MD_57		Brain_MD_33		Brain_MD_64		Brain_MD_17		Brain_MD_62		Brain_MD_63		Brain_MD_32		Brain_MGlio_1		Brain_MGlio_2		Brain_MGlio_3		Brain_MGlio_4		Brain_MGlio_5		Brain_MGlio_6		Brain_MGlio_7		Brain_MGlio_8		Brain_MGlio_9		Brain_MGlio_10		Brain_Rhab_1		Brain_Rhab_2		Brain_Rhab_3		Brain_Rhab_4		Brain_Rhab_5		Brain_Rhab_6		Brain_Rhab_7		Brain_Rhab_8		Brain_Rhab_9		Brain_Rhab_10		Brain_Ncer_1		Brain_Ncer_2		Brain_Ncer_3		Brain_Ncer_4		Brain_PNET_1		Brain_PNET_2		Brain_PNET_3		Brain_PNET_4		Brain_PNET_5		Brain_PNET_6		Brain_PNET_7		Brain_PNET_8	
Phosphate regulating neutral endopeptidase (PEX) mRNA	U82970_at	-220	A	-620	A	47	A	-212	A	-433	A	-393	A	-172	A	-609	A	-300	A	-556	A	-1179	A	-1092	A	-640	A	-377	A	-1008	A	-742	A	-679	A	-728	A	-786	A	-545	A	-370	A	-287	A	-468	A	-680	A	-54	A	-347	A	-274	A	-222	A	-133	A	-140	A	-631	A	-1471	A	-1404	A	-801	A	-367	A	-254	A	-846	A	-934	A	-222	A	-1009	A	-624	A	-839	A
"Bcl-2 binding component 3 (bbc3) mRNA, partial cds"	U82987_at	-173	A	842	A	169	A	282	A	271	A	303	A	358	A	-584	A	-151	A	-571	A	-2327	A	-830	A	-914	A	-1015	A	-2371	A	-1001	A	-735	A	-927	A	-2078	A	-705	A	-87	A	20	A	725	A	-414	P	-51	P	-158	A	228	A	274	P	676	P	1654	A	97	A	1639	A	1086	A	-2128	A	-582	A	-194	A	-1933	A	-1896	A	4	A	151	A	636	A	-501	A
"Non-lens beta gamma-crystallin like protein (AIM1) mRNA, partial cds"	U83115_at	177	A	214	A	139	A	97	A	132	A	83	A	213	A	21	A	124	A	267	A	187	A	366	A	447	A	29	A	666	A	324	A	1066	P	803	P	466	A	390	A	329	A	169	A	188	A	290	A	246	A	395	P	215	M	84	A	111	P	-50	A	-151	A	-249	A	0	A	-180	A	8	A	519	P	490	A	438	A	-24	A	277	A	939	A	387	A
Post-synaptic density protein 95 (PSD95) mRNA	U83192_at	266	A	512	A	287	P	524	P	417	P	527	P	356	P	1244	P	206	A	897	P	1641	A	1256	A	755	A	1346	P	1744	A	622	P	850	A	534	P	824	P	658	A	587	P	604	P	597	P	530	A	914	P	-14	A	362	A	292	P	248	P	451	P	1754	P	-498	A	1747	P	2397	P	94	A	343	P	1211	A	1637	P	376	A	597	A	81	A	1031	A
Copine I mRNA	U83246_at	3550	P	4633	P	2962	P	4219	P	2908	P	6028	P	2968	P	2892	P	4341	P	2280	P	4898	P	5102	P	3056	M	4422	P	2755	P	4377	P	2568	P	4087	P	6120	P	4596	P	1809	P	3036	P	3270	P	4625	P	3522	P	1571	P	4736	P	3740	P	2308	P	1103	A	5864	P	2162	A	2356	P	1737	A	4345	P	3124	P	4029	P	3544	P	1030	A	2719	P	2789	P	5012	P
"GCP-2 gene (granulocyte chemotactic protein-2) extracted from Human line-1 reverse transcriptase gene, partial cds, and granulocyte chemotactic protein-2 (GCP-2) gene"	U83303_cds2_at	158	A	318	A	265	A	-14	A	226	A	-414	A	-68	A	258	A	46	P	478	A	832	A	994	A	-380	A	236	A	773	A	-142	A	636	A	261	A	450	A	-296	A	-76	A	43	A	-177	A	95	A	116	A	194	A	-111	A	-61	A	128	A	-170	A	139	A	72	A	285	A	1031	A	-103	A	223	A	365	A	-187	A	-54	A	265	A	338	A	475	A
CUL-2 (cul-2) mRNA	U83410_at	291	A	377	P	235	A	275	M	182	A	401	P	205	A	1293	P	181	P	-58	A	169	A	234	A	394	A	389	A	-220	A	633	A	177	A	232	A	672	M	324	A	526	A	785	P	467	A	365	A	406	P	136	P	199	A	501	P	354	P	451	A	522	P	265	A	817	A	351	A	246	M	161	A	-192	A	397	P	-49	A	476	P	180	A	55	A
"Carboxypeptidase Z precursor, mRNA"	U83411_at	-557	A	-413	A	97	A	528	A	-123	A	-157	A	-374	A	-99	A	-142	A	-430	A	-1260	A	-1076	A	-1107	A	129	A	-1033	A	-149	A	-204	A	-1004	A	-737	A	-958	A	-654	A	-1079	A	-295	A	-2068	A	-774	A	3847	P	-129	A	-101	A	-245	A	-451	A	-1621	A	-2709	A	-1032	A	-1261	A	-1173	A	1215	A	-2740	A	-1375	A	-569	A	-597	A	-3104	A	-2002	A
Putative copper uptake protein (hCTR2) mRNA	U83461_at	74	A	290	A	154	A	103	A	191	A	169	A	145	P	396	P	97	M	87	A	270	P	1431	P	510	P	230	A	289	A	553	P	319	P	285	A	417	A	300	A	182	A	247	P	180	A	318	P	209	A	143	P	211	P	196	A	158	P	110	A	516	P	474	A	775	P	298	A	40	A	392	P	288	A	187	A	74	A	367	P	641	A	463	P
Scaffold protein Pbp1 mRNA	U83463_at	734	P	583	P	600	P	354	P	203	A	600	P	230	P	1658	P	417	P	634	P	577	P	1027	P	1131	P	679	P	1249	P	1402	P	1276	P	860	P	1302	P	573	P	1105	P	2615	P	233	P	1433	P	880	P	900	P	1065	P	1057	P	701	P	90	A	261	A	136	A	936	P	670	A	282	A	179	A	730	P	2378	P	173	A	543	P	315	A	611	P
"Death domain receptor 3 (DDR3) mRNA, alternatively spliced form 2, partial cds"	U83600_at	-586	A	-627	A	-473	A	-381	A	-954	A	-732	A	-923	A	-1478	A	-681	A	-1606	A	-2257	A	-2010	A	-510	A	-1328	A	-2612	A	-979	A	-315	A	-601	A	-2534	A	216	A	-686	A	-331	A	-747	A	-1056	A	-1975	A	-488	A	-651	A	-338	A	-384	A	-25	A	-910	A	-2170	A	-1397	A	-2640	A	4	A	41	A	-2279	A	-877	A	-1852	A	-1121	A	210	A	-183	A
"Calpastatin gene, exons 14 and 15, partial cds"	U83601_at	-72	A	-1007	A	-423	A	-269	A	-737	A	-321	A	-297	A	-223	A	-172	A	-266	A	-590	A	-1032	A	-904	A	-389	A	-468	A	-415	A	-387	A	-103	A	-710	A	-864	A	-125	A	-60	A	-84	A	-171	A	-166	A	-244	A	-19	A	-173	A	-97	A	-386	A	-315	A	-900	A	-1509	A	-1156	A	-183	A	-452	A	-1000	A	-389	A	257	A	-411	A	-653	A	-577	A
"HIV-1 Nef interacting protein (Nip7-1) mRNA, partial cds"	U83843_at	2439	P	892	P	635	P	728	P	604	P	1346	P	957	P	2424	P	1257	P	1339	P	1420	P	879	P	1010	P	1895	P	934	A	1252	P	1573	P	866	P	2029	P	968	P	1926	P	4157	P	1296	P	2796	P	3141	P	246	P	2181	P	1307	P	1091	P	155	A	2052	P	305	A	1724	P	1497	P	1115	P	1079	P	577	A	1724	P	1401	P	1481	P	956	P	1154	P
Nuclear antigen H731 mRNA	U83908_at	135	A	-56	A	104	A	53	A	-9	A	1	A	5	A	67	P	106	P	-10	A	-31	A	-409	A	-240	A	-94	A	-361	A	276	P	31	A	-95	A	-157	A	56	A	-65	A	90	P	2	P	92	P	14	A	-38	A	102	P	88	P	44	A	-140	A	91	A	-594	A	-44	A	-781	A	103	A	10	A	-173	A	277	P	14	A	-76	A	5	A	52	A
"CX3C chemokine precursor, mRNA, alternatively spliced"	U84487_at	3	A	316	A	138	A	50	A	146	A	178	A	-86	A	276	A	103	A	20	A	396	A	273	A	909	P	513	M	359	A	451	P	720	P	135	A	645	A	1010	P	462	P	99	A	9	A	-184	A	-126	A	-38	A	-32	A	447	P	369	P	130	A	467	P	385	A	448	M	177	A	-107	A	448	P	153	A	3190	P	-217	A	47	A	186	A	78	A
"Dystrobrevin isoform DTN-3 (DTN) gene, exon 11B and complete cds"	U84540_at	61	A	-115	A	285	A	0	A	-178	A	-10	A	-63	A	280	A	-12	A	65	A	1308	P	464	A	919	A	242	A	661	A	1802	P	623	P	14	A	1030	A	338	A	-2	A	90	A	28	A	608	P	-10	A	-62	A	-57	A	292	P	66	P	-140	A	212	A	635	A	384	A	1047	A	-62	A	33	A	711	A	24	A	-64	A	0	A	-29	A	125	A
Dystrobrevin (DTN) gene	U84551_cds2_at	56	A	-96	A	699	P	-5	A	-178	A	-204	A	-90	A	446	M	-46	A	-114	A	647	P	2289	P	1338	A	596	P	332	A	1798	P	922	P	-121	A	2257	P	136	A	-115	A	-65	A	-191	A	158	P	-120	A	28	A	-92	A	49	A	8	A	-80	A	1007	A	-699	A	714	P	968	P	67	A	-196	A	557	A	-245	A	0	A	29	A	682	A	-142	A
YF5 mRNA	U84569_at	1189	P	1614	P	1467	P	1210	P	1340	P	1767	P	1946	P	3108	P	780	P	1382	P	1535	P	6588	P	2435	M	3082	P	1856	A	2454	M	1872	P	2846	P	3022	P	5682	P	1173	P	1112	P	1070	P	2165	P	1227	P	1224	P	1596	P	1849	P	770	P	1604	P	2647	P	4919	P	3125	P	3264	P	649	A	428	A	788	A	4062	P	1456	P	2029	P	1330	M	1154	A
Lysyl hydroxylase isoform 2 (PLOD2) mRNA	U84573_at	146	P	-56	A	244	P	120	P	253	P	74	P	4	A	-74	M	208	P	106	P	-119	A	-103	A	452	P	301	P	626	P	731	P	758	P	2457	P	450	P	-126	A	61	P	3276	P	256	P	342	P	3	P	1861	P	73	P	680	P	1235	P	-120	A	321	A	200	P	-118	P	-124	P	210	A	28	A	182	A	324	P	148	A	2617	P	-145	A	151	P
mRNA export protein Rae1 (RAE1) mRNA	U84720_at	605	A	193	A	447	A	486	A	111	A	747	A	555	A	1474	A	24	A	-2	A	-640	A	-1305	A	-1482	A	531	A	-555	A	793	A	-159	A	647	A	-1188	A	-723	A	899	A	979	P	476	P	649	P	1066	A	507	A	567	A	930	P	945	P	1303	A	0	A	-265	A	-785	A	-78	A	22	A	-150	A	-2952	A	577	A	302	A	-74	A	-1552	A	-1247	A
Nuclear factor I-B2 (NFIB2) mRNA	U85193_at	6581	P	4140	P	6482	P	4148	P	6255	P	5093	P	3772	P	19785	P	3532	P	14101	P	4715	P	3343	P	6965	P	9098	P	3593	P	7374	P	1597	P	364	P	6809	P	4342	P	4458	P	5811	P	595	P	6795	P	8042	P	1712	P	6473	P	2747	P	1130	P	641	P	5974	P	2516	P	3940	P	3330	P	2795	P	1174	P	2096	P	3244	P	44	A	8523	P	881	P	6044	P
Phosphatidylinositol-4-phosphate 5-kinase type II beta mRNA	U85245_at	581	P	465	A	375	P	387	P	-100	A	828	A	775	A	2704	P	199	A	1038	P	1059	A	1502	A	1049	A	1989	P	1082	A	986	A	769	A	287	A	1437	A	1518	A	490	P	581	P	470	M	737	P	799	P	100	A	623	A	167	A	64	A	-210	A	558	A	506	A	442	A	1721	A	-22	A	277	A	1048	A	1095	A	302	A	282	A	898	A	1375	A
"Down syndrome candiate region 1 (DSCR1) gene, alternative exon 1"	U85265_at	-9	A	101	A	51	A	-47	A	178	A	101	A	-15	A	-698	A	30	A	-58	A	31	A	639	A	81	A	348	A	69	A	-87	A	-310	A	-163	A	-119	A	361	A	-80	A	82	A	1	A	-108	A	-132	A	-35	A	-57	A	-509	A	-323	A	-60	A	72	A	168	A	304	A	-206	A	-129	A	-28	A	57	A	-664	A	-19	A	-191	A	-40	A	104	A
"Down syndrome candidate region 1 (DSCR1) gene, alternative exon 1"	U85267_at	408	A	547	A	395	A	462	A	383	A	667	A	513	A	861	A	336	A	521	A	748	A	852	A	611	A	637	A	488	A	1562	A	380	A	360	P	548	A	488	A	635	P	338	A	193	A	257	A	-3	A	-26	A	238	A	540	A	164	A	250	A	-97	A	-72	P	734	A	262	A	161	A	31	A	-134	A	1441	P	-108	A	-151	A	-70	A	1617	P
Transcription factor NFATx4 mRNA	U85430_at	93	A	136	P	69	P	106	P	360	P	139	P	34	A	435	A	67	P	163	P	56	A	-142	A	173	P	-23	A	-9	A	145	A	76	P	38	A	108	A	51	A	115	P	351	P	109	P	178	P	149	P	69	A	145	A	149	P	82	P	145	A	248	A	-56	A	557	P	400	P	62	A	6	A	86	A	335	P	237	A	74	A	268	A	23	A
Snk interacting protein 2-28 mRNA	U85611_at	553	A	462	M	486	P	436	P	851	P	770	M	614	A	-148	A	8	A	787	P	933	A	2409	P	2262	P	1015	A	1665	A	1165	P	1557	P	1898	P	1036	P	1640	P	1343	P	464	P	291	A	1170	P	1643	P	2464	P	585	P	1041	P	946	P	1027	P	892	A	-297	A	724	A	1330	A	694	A	1331	P	1827	P	2569	P	440	A	89	A	741	A	1282	A
Transcription factor ERF-1 mRNA	U85658_at	240	A	113	A	259	A	182	A	458	P	217	A	227	A	301	A	14	A	140	A	516	A	409	A	702	A	123	A	718	A	589	A	384	A	342	A	368	A	211	A	460	A	540	P	352	A	731	P	465	A	148	A	1172	P	728	P	295	A	782	P	163	A	771	A	484	A	1175	A	-223	A	84	A	-211	A	457	A	752	A	220	A	17	A	425	A
Leukemogenic homolog protein (MEIS1) mRNA	U85707_at	163	A	540	A	302	P	203	P	-388	A	1218	P	130	A	163	A	152	P	334	A	-103	A	-131	A	48	A	53	A	106	A	-134	A	540	P	-113	A	-108	A	-117	A	-76	A	27	A	102	A	197	P	-221	A	93	A	326	P	76	A	117	P	-205	A	570	P	852	A	756	P	949	P	138	A	90	A	9	A	5	A	113	A	198	A	-151	A	72	A
Myeloid progenitor inhibitory factor-1 MPIF-1 mRNA	U85767_at	50	A	313	A	-117	A	-3	A	-420	A	109	A	-35	A	-708	A	104	A	338	A	324	A	540	A	-33	A	247	A	374	A	-393	A	362	A	388	A	238	A	455	A	151	A	3	A	-229	A	46	A	-118	A	-19	A	-145	A	-78	A	-66	A	120	A	-139	A	-136	A	477	A	837	A	-103	A	184	A	-134	A	-296	A	29	A	29	A	1324	A	486	A
mRNA-associated protein mrnp41 mRNA	U85943_at	114	A	35	A	-7	A	146	A	198	A	416	A	119	A	393	A	67	A	405	A	453	P	-98	A	-62	A	667	A	758	A	473	A	308	A	196	A	564	A	606	A	111	A	202	A	173	A	149	A	203	A	11	A	332	A	61	A	78	A	300	A	740	A	377	A	272	A	794	A	170	A	55	A	288	A	795	A	510	A	379	A	-46	A	568	A
Brain secretory protein hSec10p (HSEC10) mRNA	U85946_at	832	P	762	P	313	P	791	P	367	P	938	P	729	P	4466	P	414	P	810	P	683	P	732	P	1039	P	873	P	807	M	997	P	895	P	485	P	1226	P	465	A	985	P	910	P	356	P	1176	P	789	P	59	A	583	P	497	P	103	P	40	A	400	A	948	A	686	P	587	A	116	A	68	A	1259	P	1095	P	267	A	1506	P	799	P	664	P
"Clone IMAGE:35527 unknown protein mRNA, partial cds"	U85992_at	236	A	873	A	261	A	374	A	210	A	491	A	502	A	673	A	281	A	650	A	732	A	1311	A	1193	A	501	A	510	A	203	A	528	A	277	A	998	A	1306	A	267	A	237	A	252	A	593	A	227	A	258	M	127	A	328	A	235	A	260	A	928	A	1020	A	1231	P	2883	A	533	A	231	A	827	A	991	A	450	A	565	A	1097	A	877	A
PMM1 Phosphomannomutase	U86070_at	1522	P	1489	P	847	P	815	P	931	P	1088	P	913	P	2112	P	626	P	1736	P	1896	P	3015	P	2426	P	1936	P	1947	P	881	P	1811	P	1078	P	2892	P	3102	P	1438	P	2236	P	825	P	1479	P	1423	P	881	P	1312	P	916	P	1002	P	962	P	3478	P	2210	A	3266	P	3103	P	882	P	2394	P	2019	A	2324	P	430	A	1344	P	2380	P	2077	P
Telomerase-associated protein TP-1 mRNA	U86136_at	104	A	207	A	197	A	154	A	63	A	377	A	293	A	276	A	32	A	265	A	525	A	1092	A	635	A	265	A	604	A	364	A	470	A	186	A	1074	A	916	A	212	A	300	P	269	P	303	P	95	A	328	P	285	A	98	A	140	A	225	A	582	A	972	A	891	A	712	A	398	A	219	A	980	A	340	A	54	A	270	A	478	A	192	A
Fas-associated death domain protein interleukin-1b-converting enzyme 2 mRNA	U86214_at	20	A	169	A	49	A	16	A	73	A	1	A	-42	A	-81	A	0	A	-77	A	-180	A	147	A	-43	A	-29	A	136	A	-54	A	-18	A	-2	A	21	A	394	A	-80	A	23	A	-42	A	194	A	86	A	38	A	-7	A	26	P	8	A	15	A	315	A	249	A	89	A	374	A	-89	A	97	A	-144	A	10	A	208	A	96	A	-221	A	17	A
Chemokine (TECK) mRNA	U86358_at	-553	A	-712	A	-390	A	-167	A	-819	A	-426	A	-595	A	-581	A	-325	A	-1273	A	-1319	A	-1158	A	-1612	A	-738	A	-3442	A	-812	A	-1886	A	-670	A	-1345	A	-907	A	-683	A	-385	A	-739	A	-800	A	-717	A	-337	A	-426	A	-340	A	-170	A	-416	A	-1809	A	-1728	A	-1753	A	-952	A	-129	A	-1000	A	-2019	A	-771	A	-515	A	-1860	A	-1849	A	-454	A
"Hyaluronan synthase 3 (HAS3) gene, partial cds"	U86409_at	461	A	684	A	469	A	520	P	522	A	579	A	454	A	783	P	389	A	513	A	969	A	1229	P	1073	A	1198	A	565	A	305	A	-623	A	76	A	982	A	554	A	456	A	435	A	350	A	401	A	480	A	299	A	299	A	138	A	228	A	827	A	856	P	409	A	1455	P	1908	A	80	A	-324	A	326	A	681	A	-29	A	600	A	1406	A	661	A
Glutathione transferase Zeta 1 (GSTZ1) mRNA	U86529_at	980	P	1255	P	944	P	774	P	803	P	1269	P	928	P	2158	P	672	P	959	P	1477	P	2190	P	2334	A	1806	P	1856	P	1369	P	1278	P	856	P	2099	A	1457	P	947	P	1094	P	1119	P	1320	P	1550	P	421	P	964	P	788	P	804	P	506	A	837	A	2797	A	2702	P	2266	P	528	P	754	P	903	A	1798	P	584	A	1503	P	1546	P	1541	P
Nucleolar protein p40 mRNA	U86602_at	981	P	653	A	371	A	776	P	166	A	970	P	1150	P	1641	P	908	P	385	A	96	A	234	P	173	A	64	A	599	A	757	A	985	P	898	P	504	M	253	A	2054	P	1081	P	719	P	1964	P	1984	P	400	P	878	P	659	P	890	P	847	A	267	A	1205	A	952	A	341	A	138	A	200	A	615	A	1446	P	108	A	794	A	706	A	294	A
26S proteasome-associated pad1 homolog (POH1) mRNA	U86782_at	683	P	337	P	473	P	401	P	68	A	596	P	602	P	2303	P	257	P	294	P	480	P	579	P	341	P	679	P	547	P	804	P	1064	P	455	P	786	P	296	P	988	P	1142	P	788	P	1112	P	1603	P	294	P	810	P	445	P	521	P	25	A	522	P	144	A	839	P	466	A	430	P	703	P	817	A	732	P	242	A	3600	P	367	A	466	P
Contactin associated protein (Caspr) mRNA	U87223_at	218	A	698	P	278	P	249	P	123	A	360	P	267	A	918	P	106	P	473	P	399	P	1475	P	1034	P	850	P	463	A	335	A	704	P	174	P	1280	P	822	P	315	A	1720	P	857	P	3327	P	2062	P	450	P	895	P	461	P	411	P	656	P	2307	P	2427	A	3436	P	3599	P	-62	A	465	P	1548	P	367	M	391	A	635	P	1878	P	906	P
P120E4F transcription factor mRNA	U87269_at	35	A	-73	A	-7	A	-7	A	-210	A	-154	A	-371	A	124	A	-72	A	-465	A	-437	A	-901	A	-981	A	-301	A	-676	A	-21	A	-123	A	-259	A	-689	A	-831	A	5	A	16	A	-21	A	-160	A	-71	A	-57	A	-60	A	-146	A	13	A	-135	A	406	A	-1045	A	-51	A	-1024	A	-273	A	26	A	-1182	A	-286	A	-401	A	-362	A	-449	A	-614	A
HVps41p (HVPS41) mRNA	U87309_at	32	A	-59	A	69	A	-1	A	-63	A	46	A	31	A	63	A	5	A	-37	A	29	A	142	A	-4	A	-17	A	12	A	36	A	27	A	-12	A	37	A	-79	A	61	A	60	A	17	A	38	A	77	A	23	A	39	A	38	A	-8	A	50	A	30	A	-168	A	6	A	-26	A	22	A	8	A	-211	A	92	A	9	A	27	A	46	A	139	A
"Clone IMAGE:30008 unknown protein mRNA, partial cds"	U87408_at	356	P	1052	P	589	P	569	A	678	P	931	A	740	P	1843	P	309	P	1088	P	1274	P	1622	P	1939	A	1375	P	1499	A	557	A	1195	A	578	A	1953	P	1706	A	525	A	821	P	678	A	641	A	750	A	579	P	687	A	709	P	525	P	376	A	1390	P	2395	P	2295	P	2686	A	470	A	394	P	1577	P	1405	P	495	A	1101	P	974	A	1538	P
Autoimmunogenic cancer/testis antigen NY-ESO-1 mRNA	U87459_at	592	P	649	M	580	P	482	P	625	P	596	P	469	P	1556	P	353	P	946	P	753	P	1322	P	1068	P	991	P	1306	P	728	P	832	P	714	P	1579	P	1283	P	490	P	830	P	588	P	552	P	1015	P	412	P	517	P	513	P	292	P	817	M	509	P	2017	A	1045	P	2647	P	416	P	376	P	1923	P	1269	P	777	A	635	A	1132	P	1451	P
Putative endothelin receptor type B-like protein mRNA	U87460_at	-18	A	51	A	132	A	33	A	-11	A	-8	A	5	A	350	A	108	P	63	A	-51	A	923	P	28	A	59	A	230	A	225	A	929	P	1882	P	-65	A	61	A	-135	A	-51	A	-57	A	20	P	-141	A	7	A	-66	A	328	P	1	A	-75	A	777	A	305	P	343	P	160	A	-125	A	28	A	317	A	125	A	113	A	54	A	554	A	617	P
Putative G-protein (GP-1) mRNA	U87964_at	61	A	4	A	55	A	156	A	47	A	15	A	385	A	24	A	200	A	227	A	-60	A	732	A	389	A	-129	A	1152	A	76	A	-132	A	123	A	5	A	145	A	1	A	-134	A	294	A	96	A	307	A	299	A	19	A	-42	A	132	A	15	A	1056	A	-353	A	-80	A	32	A	-188	A	452	A	19	A	-152	A	-118	A	-516	A	641	A	-428	A
"NAD+-isocitrate dehydrogenase mRNA, partial cds"	U87972_at	-96	A	-99	A	-62	A	37	A	25	A	-163	A	293	A	-751	A	-145	A	-203	A	-360	A	934	A	548	A	-413	A	864	A	123	A	553	A	-188	A	944	A	-244	A	-182	A	-298	A	-18	A	174	A	-409	A	-172	A	149	A	-149	A	-73	A	135	A	0	A	3866	A	1038	A	867	A	-103	A	-233	A	336	A	-670	A	-24	A	764	A	519	A	833	A
"DNA binding protein homolog (DRIL) mRNA, partial cds"	U88047_at	262	A	18	A	208	A	29	A	130	A	168	A	408	A	740	A	56	A	380	A	396	A	704	M	582	A	407	A	626	A	160	A	501	A	382	A	542	A	371	A	58	A	987	P	299	P	841	P	1016	P	656	P	534	P	182	A	974	P	551	P	576	A	610	A	605	A	899	A	259	A	322	A	1192	A	980	P	911	A	119	A	390	A	775	A
RNA polymerase II elongation factor ELL2	U88629_at	327	P	493	P	149	A	133	A	844	P	301	A	211	M	141	A	291	A	688	A	284	A	781	A	457	A	383	A	1058	A	72	A	765	A	463	P	846	P	376	A	332	P	655	P	198	A	228	P	162	A	249	P	345	P	307	M	139	A	150	A	455	P	924	A	-38	A	926	A	22	A	370	A	1779	P	365	A	49	A	806	A	636	A	1570	A
Serine kinase SRPK2 mRNA	U88666_at	414	P	252	P	690	P	638	P	401	P	684	P	968	P	3363	P	313	P	707	P	687	P	595	P	1006	P	1517	P	451	A	691	P	657	P	398	P	1345	P	573	P	487	P	1143	P	381	P	807	P	788	P	213	P	489	P	469	P	283	P	85	A	1171	P	755	M	1529	P	1504	P	327	P	275	P	461	A	825	P	-113	A	1548	P	496	A	553	P
ATP binding cassette transporter (ABCR) mRNA	U88667_at	13	A	127	A	116	A	-24	A	50	A	-142	A	172	P	-1017	A	44	A	-430	A	187	A	-60	A	72	A	336	A	-572	A	240	A	234	A	-172	A	971	A	333	A	175	A	196	A	-166	A	477	A	275	A	-285	A	-111	A	-26	A	-11	A	135	A	358	A	-1663	A	811	A	2371	A	-174	A	138	A	19	A	460	A	-272	A	280	A	1260	A	-579	A
"Symplekin mRNA, partial cds"	U88726_at	187	P	-87	A	250	P	247	P	269	P	160	P	111	A	400	P	14	A	377	P	56	P	27	A	341	P	407	A	-2	P	145	A	20	A	196	A	461	P	225	A	-5	A	155	P	78	A	255	P	189	P	28	A	152	P	146	P	62	A	-65	A	-151	A	-56	A	269	P	371	P	-17	A	37	A	48	A	487	P	198	A	225	A	-215	A	34	A
Peroxisome targeting signal 2 receptor (Pex7) mRNA	U88871_at	64	P	-23	A	-22	A	71	P	-22	A	65	A	87	A	35	A	-7	A	-68	A	-126	A	71	A	-48	A	64	A	96	A	174	A	6	A	149	A	103	A	-84	A	59	A	19	P	82	M	74	A	130	A	4	A	77	P	134	M	62	P	-325	A	60	A	-345	A	-83	A	-279	A	26	A	43	A	-48	A	-2	A	-163	A	-27	A	-140	A	-20	A
"Tenascin-C mRNA, splice variant TNCfn-ad2, partial cds"	U88892_at	-506	A	-68	A	-49	A	121	A	-152	A	60	A	-260	A	-847	A	-208	A	-1469	A	-1100	A	-387	A	-308	A	-265	A	-592	A	-695	A	-776	A	-121	A	-803	A	-263	A	-615	A	-268	A	-388	A	-712	A	-119	A	-419	A	-545	A	-407	A	-202	A	-45	A	0	A	-538	A	-1041	A	-2138	A	-573	A	-314	A	-1144	A	-468	A	-376	A	-972	A	-1359	A	-1288	A
HEM45 mRNA	U88964_at	326	A	554	P	235	P	494	P	381	A	462	M	340	P	744	P	355	P	708	A	421	P	885	P	693	A	850	P	1655	P	699	P	1066	P	459	P	689	M	855	P	678	P	615	P	772	P	676	P	964	A	337	P	353	P	422	P	571	P	391	A	1414	P	1463	A	782	P	1560	A	618	A	1612	P	1077	A	959	P	1109	P	595	A	1511	A	1215	P
Dentin matrix acidic phosphoprotein 1 (DMP1) mRNA	U89012_at	-31	A	89	A	-29	A	24	A	25	A	-36	A	-58	A	-141	A	-5	A	34	A	-47	A	-98	A	-178	A	-88	A	91	A	-29	A	0	A	-93	A	-59	A	75	A	-134	A	61	A	9	A	20	A	-67	A	-2	A	520	P	-24	A	-26	A	-90	A	54	A	96	A	-57	A	-134	A	-165	A	-72	A	-336	A	-43	A	59	A	-47	A	-338	A	-23	A
Polyhomeotic 2 homolog (HPH2) mRNA	U89278_at	3837	P	4650	P	2288	P	3103	P	2266	P	7111	P	6541	P	6054	P	1271	P	4104	P	3076	P	4009	P	2758	P	3335	P	8054	P	2913	P	5307	P	2402	P	4514	P	2867	P	3377	P	1057	P	1925	P	2146	P	1621	P	1041	P	1568	P	2362	P	1026	P	666	A	3242	P	2893	A	5106	P	4161	A	4139	P	3395	P	2683	P	3680	P	2169	P	5798	P	3425	P	4298	P
Bone morphogenetic protein receptor type I ALK-6 mRNA	U89326_at	2	A	-391	A	-141	A	-32	P	-162	A	-254	A	-212	P	-187	A	-176	P	-213	A	-498	A	-1059	A	-678	A	-354	A	-465	A	-105	A	-312	A	-172	A	-895	A	-958	A	43	A	26	A	-194	A	48	A	-224	A	-52	A	208	A	-76	A	9	A	95	P	-279	A	-739	A	-593	A	-798	A	-138	A	-268	A	326	A	2	A	351	A	-297	A	-624	A	-271	A
"NOTCH4 gene (notch4) extracted from Human HLA class III region containing notch4 (NOTCH4) gene, complete sequence"	U89335_cds2_at	284	A	694	A	436	P	372	P	636	M	610	A	423	A	811	A	478	P	669	P	875	P	1076	P	1034	P	1180	P	1040	P	1147	P	871	P	516	P	1513	P	705	A	625	P	462	P	427	P	387	P	544	P	318	P	382	P	338	P	163	P	486	M	758	A	458	A	1279	P	1021	M	35	A	407	A	1077	P	831	P	569	A	205	A	169	A	830	A
"Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence"	U89336_cds1_at	262	A	538	A	355	P	335	P	518	A	462	P	285	P	1066	P	350	P	553	P	789	P	1322	P	818	P	631	P	1526	P	764	A	873	P	661	P	900	P	1090	M	645	P	462	P	392	A	711	P	599	P	716	P	294	P	384	P	375	P	501	A	1068	A	1390	A	1400	P	2079	M	197	A	1399	P	1740	P	686	P	510	A	138	A	443	A	1244	P
